TimeInSeconds,FrameTimeMs,FPS
2.23946,9.03,110.78
2.24849,8.68,115.18
2.25717,8.81,113.55
2.26598,9.49,105.41
2.27546,9.69,103.15
2.28516,9.29,107.70
2.29444,9.64,103.77
2.30408,9.27,107.89
2.31335,8.65,115.60
2.32200,9.55,104.76
2.33154,8.62,116.07
2.34016,8.54,117.13
2.34870,8.81,113.46
2.35751,9.46,105.73
2.36697,9.26,108.04
2.37622,10.55,94.78
2.38677,8.38,119.34
2.39515,8.89,112.47
2.40404,9.81,101.93
2.41386,9.59,104.32
2.42344,9.02,110.90
2.43246,9.66,103.52
2.44212,8.61,116.12
2.45073,9.43,106.08
2.46016,8.99,111.20
2.46915,9.48,105.52
2.47863,8.49,117.75
2.48712,8.44,118.47
2.49556,9.55,104.67
2.50511,8.29,120.57
2.51341,9.91,100.87
2.52332,8.27,120.87
2.53160,9.06,110.41
2.54065,9.53,104.92
2.55018,10.13,98.72
2.56031,9.18,108.92
2.56949,8.92,112.13
2.57841,10.11,98.88
2.58853,9.22,108.47
2.59774,8.96,111.64
2.60670,8.56,116.77
2.61527,8.16,122.49
2.62343,9.14,109.46
2.63257,9.26,108.01
2.64182,9.48,105.49
2.65130,9.47,105.56
2.66078,9.26,108.00
2.67004,9.76,102.43
2.67980,8.85,113.03
2.68865,8.91,112.18
2.69756,11.04,90.56
2.70860,10.33,96.84
2.71893,7.83,127.72
2.72676,9.32,107.32
2.73608,8.49,117.76
2.74457,8.53,117.19
2.75310,9.41,106.32
2.76251,10.61,94.26
2.77312,9.20,108.65
2.78232,10.10,98.99
2.79242,9.95,100.51
2.80237,8.82,113.43
2.81119,10.24,97.63
2.82143,8.99,111.19
2.83042,9.15,109.28
2.83957,9.57,104.51
2.84914,8.95,111.76
2.85809,8.99,111.28
2.86708,9.36,106.85
2.87644,8.48,117.95
2.88491,9.40,106.40
2.89431,9.40,106.35
2.90372,9.30,107.56
2.91301,9.32,107.28
2.92233,9.93,100.67
2.93227,8.74,114.46
2.94100,8.98,111.39
2.94998,9.11,109.77
2.95909,8.63,115.94
2.96772,9.26,108.00
2.97698,8.97,111.53
2.98594,9.30,107.52
2.99524,9.01,110.97
3.00425,9.68,103.32
3.01393,8.38,119.32
3.02231,10.88,91.94
3.03319,9.72,102.92
3.04291,10.52,95.04
3.05343,9.31,107.46
3.06274,9.15,109.29
3.07189,8.52,117.37
3.08041,8.05,124.24
3.08845,8.63,115.84
3.09709,10.14,98.63
